epoch	lr	train_loss	top1_n	top1	top5	val_loss	train_s	val_s
213	5.5e-05	3.1345	40576	0.8115	0.9549	0.8243	900.3	17.7
214	5.4e-05	3.1389	40568	0.8114	0.9552	0.825	899.5	17.6
215	5.3e-05	3.1365	40581	0.8116	0.9552	0.8239	899.1	17.6
216	5.2e-05	3.112	40595	0.8119	0.9555	0.8243	899.3	17.7
217	5e-05	3.1061	40595	0.8119	0.9553	0.8238	899.3	17.8
218	4.9e-05	3.1006	40593	0.8119	0.9551	0.8243	899.0	17.8
219	4.8e-05	3.1055	40576	0.8115	0.9553	0.8253	900.0	17.7
220	4.7e-05	3.0917	40565	0.8113	0.9549	0.8259	899.6	17.6
221	4.6e-05	3.0876	40573	0.8115	0.9547	0.826	900.1	17.7
222	4.5e-05	3.1047	40583	0.8117	0.9552	0.826	899.3	17.8
223	4.4e-05	3.0805	40642	0.8128	0.9552	0.8255	900.1	17.6
224	4.3e-05	3.0859	40612	0.8122	0.955	0.8259	899.2	17.6
225	4.2e-05	3.07	40651	0.813	0.9553	0.8252	899.6	17.6
226	4.1e-05	3.0792	40665	0.8133	0.9553	0.8248	899.1	17.7
227	4e-05	3.0599	40666	0.8133	0.9552	0.8245	899.7	17.8
228	3.9e-05	3.0642	40638	0.8128	0.9556	0.8243	899.1	17.7
229	3.8e-05	3.0471	40614	0.8123	0.9556	0.8248	899.0	17.6
230	3.7e-05	3.0491	40616	0.8123	0.9558	0.8243	898.2	17.7
231	3.6e-05	3.0485	40621	0.8124	0.9553	0.8247	900.8	17.7
232	3.5e-05	3.0468	40646	0.8129	0.9553	0.8242	899.5	17.7
233	3.4e-05	3.0466	40645	0.8129	0.9552	0.8251	899.6	17.8
234	3.3e-05	3.0366	40656	0.8131	0.9555	0.8255	899.3	17.7
235	3.2e-05	3.0293	40641	0.8128	0.9555	0.826	899.8	17.6
236	3.1e-05	3.016	40630	0.8126	0.9556	0.8263	899.6	17.7
237	3e-05	3.0289	40671	0.8134	0.9555	0.8261	900.2	17.6
238	2.9e-05	3.0216	40697	0.8139	0.9553	0.8258	900.5	17.6
239	2.8e-05	2.9982	40714	0.8143	0.9554	0.8252	900.5	17.8
240	2.7e-05	3.0003	40705	0.8141	0.9551	0.8253	900.3	17.7
241	2.6e-05	2.9938	40708	0.8142	0.9552	0.8243	900.5	17.7
242	2.6e-05	2.9932	40744	0.8149	0.9549	0.8246	899.4	17.6
243	2.5e-05	2.9872	40726	0.8145	0.9552	0.8251	899.5	17.7
244	2.4e-05	2.9909	40704	0.8141	0.955	0.8263	899.7	17.8
245	2.3e-05	2.9788	40736	0.8147	0.9554	0.8262	899.3	17.7
246	2.2e-05	2.9709	40730	0.8146	0.9556	0.8262	899.5	17.6
247	2.1e-05	2.9805	40770	0.8154	0.9553	0.8267	899.5	17.6
248	2.1e-05	2.9696	40768	0.8154	0.9556	0.8266	900.4	17.6
249	2e-05	2.9714	40747	0.8149	0.9552	0.8282	899.4	17.7
250	1.9e-05	2.9588	40754	0.8151	0.9556	0.8276	899.3	17.8
251	1.8e-05	2.9562	40739	0.8148	0.9554	0.8283	899.3	17.7
252	1.8e-05	2.9579	40754	0.8151	0.9555	0.8278	899.1	17.6
253	1.7e-05	2.9479	40732	0.8146	0.9553	0.8277	899.3	17.6
254	1.6e-05	2.9189	40735	0.8147	0.9554	0.8278	899.0	17.6
255	1.6e-05	2.9375	40718	0.8144	0.9551	0.8287	899.0	17.7
256	1.5e-05	2.946	40722	0.8144	0.9554	0.8298	898.7	17.8
257	1.4e-05	2.931	40741	0.8148	0.9553	0.8309	899.0	17.6
258	1.4e-05	2.9507	40720	0.8144	0.9552	0.8313	899.0	17.7
259	1.3e-05	2.9166	40725	0.8145	0.9553	0.8317	898.9	17.6
260	1.2e-05	2.9197	40734	0.8147	0.9551	0.8314	898.9	17.7
261	1.2e-05	2.9207	40702	0.814	0.9551	0.8318	900.4	17.8
262	1.1e-05	2.8971	40733	0.8147	0.955	0.8317	900.4	17.6
263	1.1e-05	2.9033	40724	0.8145	0.9551	0.8324	900.5	17.6
264	1e-05	2.9145	40727	0.8145	0.9554	0.8337	900.3	17.7
265	1e-05	2.9139	40698	0.814	0.9554	0.8341	899.5	17.6
266	9e-06	2.9035	40706	0.8141	0.9557	0.8344	900.5	17.7
267	8e-06	2.883	40702	0.814	0.9553	0.8343	899.6	17.8
268	8e-06	2.8909	40701	0.814	0.9551	0.8345	899.3	17.7
269	7e-06	2.8855	40700	0.814	0.9551	0.8351	900.6	17.6
270	7e-06	2.8854	40683	0.8137	0.9548	0.836	900.5	17.7
271	7e-06	2.8946	40695	0.8139	0.955	0.8361	900.5	17.6
272	6e-06	2.8839	40731	0.8146	0.9552	0.8363	900.5	17.6
273	6e-06	2.8897	40714	0.8143	0.955	0.8369	900.7	17.8
274	5e-06	2.8712	40728	0.8146	0.9551	0.837	900.6	17.6
275	5e-06	2.8784	40751	0.815	0.9551	0.8372	900.8	17.7
276	5e-06	2.8705	40765	0.8153	0.955	0.838	900.4	17.6
277	4e-06	2.87	40773	0.8155	0.9549	0.8386	900.4	17.7
278	4e-06	2.8622	40765	0.8153	0.955	0.8386	900.3	17.8
279	3e-06	2.8744	40766	0.8153	0.955	0.839	899.5	17.7
280	3e-06	2.8496	40765	0.8153	0.9551	0.8382	899.6	17.6
281	3e-06	2.8621	40740	0.8148	0.9549	0.8388	899.7	17.7
282	3e-06	2.859	40747	0.8149	0.955	0.8397	899.2	17.6
283	2e-06	2.8592	40761	0.8152	0.9551	0.84	899.4	17.7
284	2e-06	2.8407	40745	0.8149	0.9552	0.8402	899.2	17.8
285	2e-06	2.8545	40740	0.8148	0.9549	0.8417	899.3	17.7
286	2e-06	2.8638	40754	0.8151	0.9551	0.8421	899.1	17.6
287	1e-06	2.8584	40740	0.8148	0.9551	0.8424	899.2	17.6
288	1e-06	2.8495	40754	0.8151	0.9549	0.8422	898.9	17.7
289	1e-06	2.8375	40760	0.8152	0.9549	0.8424	898.8	17.8
290	1e-06	2.8425	40759	0.8152	0.955	0.8421	898.9	17.7
291	1e-06	2.8611	40773	0.8155	0.9549	0.8419	898.8	17.6
292	1e-06	2.8474	40770	0.8154	0.9549	0.8423	898.9	17.7
293	0.0	2.8517	40774	0.8155	0.9548	0.8424	898.9	17.6
294	0.0	2.8337	40744	0.8149	0.955	0.8427	898.9	17.7
295	0.0	2.8656	40747	0.8149	0.955	0.8433	898.8	17.8
296	0.0	2.837	40762	0.8152	0.955	0.8433	898.0	17.7
297	0.0	2.8436	40770	0.8154	0.9549	0.8431	898.9	17.6
298	0.0	2.8508	40761	0.8152	0.955	0.8431	897.8	17.7
299	0.0	2.8499	40771	0.8154	0.9551	0.8431	898.3	17.6
300	0.0	2.8517	40765	0.8153	0.9551	0.843	898.3	17.7
