E0804 23:05:41.031292  593487 cuda_timer.cc:88] Delay kernel timed out: measured time has sub-optimal accuracy. There may be a missing warmup execution, please investigate in Nsight Systems.
W0804 23:05:49.776744  593458 allocator_memory_registration.cc:63] Failed to register GPU memory with clique devices=4:[0,1,2,3]; local_participants=4; communication_id=0; incarnations=[]: INTERNAL: NCCL operation ncclCommRegister(comm, addr.opaque(), addr.size(), &handle) failed: unhandled cuda error (run with NCCL_DEBUG=INFO for details). Last NCCL warning(error) log entry (may be unrelated) 'Cuda failure 500 'named symbol not found''.
ResNet-34 (ImageNet) · Lean 4 → JAX
  Conv(3→64,7x7/2)+BN → Pool(3x3) → Res3(64→64,s1) → Res4(64→128,s2) → Res6(128→256,s2) → Res3(256→512,s2) → GAP → 512→1000

ImageNet (1000-class) — tfds streaming pipeline
lr=0.100000  batch_size=256 (4 devices x 64)  epochs=90  params=21797672
steps_per_epoch=5004  total_steps=450360
backend=gpu  devices=[CudaDevice(id=0), CudaDevice(id=1), CudaDevice(id=2), CudaDevice(id=3)]
Starting training...
  step 25600/450360  loss=3.4366  lr=0.1  (103.0ms/step avg)
  step 25700/450360  loss=3.558  lr=0.1  (103.0ms/step avg)
  step 25800/450360  loss=3.6302  lr=0.1  (103.0ms/step avg)
  step 25900/450360  loss=3.677  lr=0.1  (103.0ms/step avg)
  step 26000/450360  loss=3.4099  lr=0.1  (103.0ms/step avg)
  step 26100/450360  loss=3.4819  lr=0.1  (103.0ms/step avg)
  step 26200/450360  loss=3.6145  lr=0.1  (103.0ms/step avg)
  step 26300/450360  loss=3.6772  lr=0.1  (103.0ms/step avg)
  step 26400/450360  loss=3.515  lr=0.1  (103.0ms/step avg)
  step 26500/450360  loss=3.5155  lr=0.1  (103.0ms/step avg)
  step 26600/450360  loss=3.5854  lr=0.1  (103.0ms/step avg)
  step 26700/450360  loss=3.4298  lr=0.1  (103.0ms/step avg)
  step 26800/450360  loss=3.7139  lr=0.1  (103.0ms/step avg)
  step 26900/450360  loss=3.7796  lr=0.1  (103.0ms/step avg)
  step 27000/450360  loss=3.5292  lr=0.09999  (103.0ms/step avg)
  step 27100/450360  loss=3.6689  lr=0.09999  (103.0ms/step avg)
  step 27200/450360  loss=3.7699  lr=0.09999  (103.0ms/step avg)
  step 27300/450360  loss=3.5247  lr=0.09999  (103.0ms/step avg)
  step 27400/450360  loss=3.6421  lr=0.09999  (103.0ms/step avg)
  step 27500/450360  loss=3.6185  lr=0.09999  (103.0ms/step avg)
  step 27600/450360  loss=3.4089  lr=0.09999  (103.0ms/step avg)
  step 27700/450360  loss=3.4448  lr=0.09999  (103.0ms/step avg)
  step 27800/450360  loss=3.5396  lr=0.09999  (103.0ms/step avg)
  step 27900/450360  loss=3.548  lr=0.09999  (103.0ms/step avg)
  step 28000/450360  loss=3.7497  lr=0.09999  (103.0ms/step avg)
  step 28100/450360  loss=3.5464  lr=0.09999  (103.0ms/step avg)
  step 28200/450360  loss=3.604  lr=0.09999  (103.0ms/step avg)
  step 28300/450360  loss=3.5097  lr=0.09999  (103.0ms/step avg)
  step 28400/450360  loss=3.4198  lr=0.09998  (103.0ms/step avg)
  step 28500/450360  loss=3.4883  lr=0.09998  (103.0ms/step avg)
  step 28600/450360  loss=3.5715  lr=0.09998  (103.0ms/step avg)
  step 28700/450360  loss=3.4002  lr=0.09998  (103.0ms/step avg)
  step 28800/450360  loss=3.5636  lr=0.09998  (103.0ms/step avg)
  step 28900/450360  loss=3.541  lr=0.09998  (103.0ms/step avg)
  step 29000/450360  loss=3.4137  lr=0.09998  (103.0ms/step avg)
  step 29100/450360  loss=3.6728  lr=0.09998  (103.0ms/step avg)
  step 29200/450360  loss=3.5039  lr=0.09998  (103.0ms/step avg)
  step 29300/450360  loss=3.6011  lr=0.09998  (103.0ms/step avg)
  step 29400/450360  loss=3.314  lr=0.09997  (103.0ms/step avg)
  step 29500/450360  loss=3.52  lr=0.09997  (103.0ms/step avg)
  step 29600/450360  loss=3.585  lr=0.09997  (103.0ms/step avg)
