blackjack dqn: 6210 params, 200000 steps, batch 128, double DQN, seed 1
[pjrt_ffi] allocator: 1 create option(s), memory_fraction=0.100
I0911 16:45:55.849046 1907452 service.cc:154] XLA service 0x78e570028880 initialized for platform CUDA (this does not guarantee that XLA will be used). Devices:
I0911 16:45:55.849076 1907452 service.cc:170]   StreamExecutor [0]: NVIDIA GeForce RTX 4060 Ti, Compute Capability 8.9 (Driver: 12.9.0[575.57.8]; Runtime: 12.9.0; Toolkit: 12.9.0; DNN: 9.23.2)
I0911 16:45:55.850576 1907452 se_gpu_pjrt_client.cc:1342] Using BFC allocator.
I0911 16:45:55.850618 1907452 gpu_helpers.cc:162] XLA backend allocating 1.56GiB (1673527296 bytes) on device 0 for BFCAllocator.
I0911 16:45:55.859511 1907452 cuda_dnn.cc:440] Loaded cuDNN version 92302
[pjrt_ffi] XLA backend: PJRT 0.114, 1 device(s)
[pjrt_ffi] command buffers: enabled (CUDA default)
I0911 16:45:56.789247 1907594 subprocess_compilation.cc:349] ptxas warning : Registers are spilled to local memory in function 'gemm_fusion_dot_10', 4 bytes spill stores, 4 bytes spill loads

[pjrt_ffi] compiled .lake/build/blackjack_dqn_double_train_step.mlir (@main, 19 outputs, 1 replica) in 2594 ms
[pjrt_ffi] compiled .lake/build/blackjack_dqn_double_fwd_eval.mlir (@forward_eval, 1 outputs, 1 replica) in 758 ms
I0911 16:45:59.522839 1907583 subprocess_compilation.cc:349] ptxas warning : Registers are spilled to local memory in function 'gemm_fusion_dot_3', 24 bytes spill stores, 24 bytes spill loads

[pjrt_ffi] compiled .lake/build/blackjack_dqn_double_fwd_eval_all.mlir (@forward_eval, 1 outputs, 1 replica) in 722 ms
  sessions loaded
  update 150000  hands 99578  loss 0.2296  exact -0.0528  agree 181/200  (467562 ms)
  update 151000  hands 100213  loss 0.2348  exact -0.0542  agree 179/200  (470676 ms)
  update 152000  hands 100852  loss 0.2322  exact -0.0535  agree 181/200  (473820 ms)
  update 153000  hands 101483  loss 0.2328  exact -0.0542  agree 180/200  (476979 ms)
  update 154000  hands 102143  loss 0.2301  exact -0.0560  agree 179/200  (480096 ms)
  update 155000  hands 102795  loss 0.2335  exact -0.0568  agree 176/200  (483188 ms)
  update 156000  hands 103450  loss 0.2358  exact -0.0538  agree 179/200  (486309 ms)
  update 157000  hands 104090  loss 0.2298  exact -0.0579  agree 173/200  (489407 ms)
  update 158000  hands 104742  loss 0.2303  exact -0.0556  agree 176/200  (492542 ms)
  update 159000  hands 105376  loss 0.2298  exact -0.0576  agree 175/200  (495671 ms)
  update 160000  hands 106022  loss 0.2350  exact -0.0565  agree 177/200  (498785 ms)
  update 161000  hands 106665  loss 0.2315  exact -0.0541  agree 179/200  (501951 ms)
  update 162000  hands 107328  loss 0.2284  exact -0.0613  agree 176/200  (505047 ms)
  update 163000  hands 107989  loss 0.2316  exact -0.0508  agree 182/200  (508098 ms)
  update 164000  hands 108617  loss 0.2312  exact -0.0513  agree 180/200  (511274 ms)
  update 165000  hands 109269  loss 0.2289  exact -0.0528  agree 180/200  (514385 ms)
  update 166000  hands 109902  loss 0.2281  exact -0.0507  agree 179/200  (517443 ms)
  update 167000  hands 110555  loss 0.2314  exact -0.0501  agree 179/200  (520559 ms)
  update 168000  hands 111188  loss 0.2287  exact -0.0526  agree 179/200  (523721 ms)
  update 169000  hands 111813  loss 0.2303  exact -0.0524  agree 182/200  (526801 ms)
  update 170000  hands 112470  loss 0.2299  exact -0.0548  agree 179/200  (529972 ms)
  update 171000  hands 113112  loss 0.2351  exact -0.0542  agree 182/200  (533154 ms)
  update 172000  hands 113750  loss 0.2343  exact -0.0555  agree 178/200  (536310 ms)
  update 173000  hands 114383  loss 0.2312  exact -0.0594  agree 180/200  (539381 ms)
  update 174000  hands 115030  loss 0.2333  exact -0.0519  agree 181/200  (542463 ms)
  update 175000  hands 115661  loss 0.2342  exact -0.0525  agree 182/200  (545625 ms)
  update 176000  hands 116309  loss 0.2324  exact -0.0527  agree 181/200  (548711 ms)
  update 177000  hands 116947  loss 0.2314  exact -0.0520  agree 184/200  (551898 ms)
  update 178000  hands 117607  loss 0.2336  exact -0.0570  agree 182/200  (554995 ms)
  update 179000  hands 118274  loss 0.2311  exact -0.0572  agree 180/200  (558112 ms)
  update 180000  hands 118929  loss 0.2335  exact -0.0617  agree 179/200  (561206 ms)
  update 181000  hands 119580  loss 0.2321  exact -0.0548  agree 180/200  (564064 ms)
  update 182000  hands 120235  loss 0.2333  exact -0.0540  agree 183/200  (567087 ms)
  update 183000  hands 120889  loss 0.2357  exact -0.0653  agree 177/200  (570083 ms)
  update 184000  hands 121537  loss 0.2339  exact -0.0614  agree 182/200  (572880 ms)
  update 185000  hands 122181  loss 0.2348  exact -0.0550  agree 182/200  (575846 ms)
  update 186000  hands 122828  loss 0.2336  exact -0.0536  agree 183/200  (578671 ms)
  update 187000  hands 123467  loss 0.2334  exact -0.0598  agree 178/200  (581458 ms)
  update 188000  hands 124100  loss 0.2356  exact -0.0565  agree 179/200  (584022 ms)
  update 189000  hands 124727  loss 0.2376  exact -0.0532  agree 181/200  (586571 ms)
  update 190000  hands 125370  loss 0.2334  exact -0.0554  agree 180/200  (588974 ms)
  update 191000  hands 126003  loss 0.2332  exact -0.0515  agree 183/200  (591340 ms)
  update 192000  hands 126622  loss 0.2347  exact -0.0519  agree 183/200  (593714 ms)
  update 193000  hands 127259  loss 0.2323  exact -0.0508  agree 182/200  (596084 ms)
  update 194000  hands 127895  loss 0.2335  exact -0.0549  agree 176/200  (598478 ms)
  update 195000  hands 128552  loss 0.2280  exact -0.0475  agree 184/200  (600848 ms)
  update 196000  hands 129214  loss 0.2328  exact -0.0492  agree 186/200  (603227 ms)
  update 197000  hands 129866  loss 0.2339  exact -0.0511  agree 182/200  (605985 ms)
  update 198000  hands 130509  loss 0.2348  exact -0.0502  agree 184/200  (608761 ms)
  update 199000  hands 131153  loss 0.2355  exact -0.0496  agree 184/200  (611443 ms)
  update 200000  hands 131794  loss 0.2338  exact -0.0476  agree 188/200  (613817 ms)
trained: 200000 updates, 131794 hands, 613835 ms
wrote .lake/build/blackjack_dqn_double_curve.csv, .lake/build/blackjack_dqn_double_policy.csv, .lake/build/blackjack_dqn_double_params.bin
